mu_1 mu_2 mu_3 mu_4 mu_5 mu_6 mu_7
1 1 -2.81887617345442e-149 147.735238334615 104.998953911964 103.184873223987 55.0403384086816
2 2 4.23029663368431e-132 149.670566286458 106.056071551298 103.431138893682 56.0250747744093
2 2 6.70758319271956e-117 146.912701647678 106.029744880905 101.384937744933 56.0634224223125
2 2 -1.1223968774629e-101 148.369787438447 106.018192441212 100.591319604167 56.0181691707427
2 2 6.26445142730628e-86 144.703008350119 106.076905814965 98.3240555203352 56.0411386878038
2 2 -8.57842906393988e-70 146.529202181091 106.04503253539 97.7033371508055 56.0128459676915
2 2 1.32816017555093e-54 143.277205475105 106.078042993752 97.2833447644403 56.0398603373803
2 2 4.50968591652591e-40 143.858296370194 106.019510477287 96.2814806481015 56.0452704619908
2 2 1.87172339076431e-23 142.380395996467 106.057551283392 95.2504586521557 56.0540185277922
1.99999999990547 1.99999999999345 9.62062799510725e-09 140.146243997056 106.054613955168 95.0059163978966 56.0240962350193
1.99350824245447 1.99110474253973 -0.164876193563186 157.029582918592 83.2197897158177 101.960149347666 40.1400772621872
2.2405107180112 2.12600110625189 -0.163643454216155 148.47970856528 94.6772772774426 104.588381137625 33.0650575161403
3.62752628964038 2.95595811434387 -0.140454961534793 149.887213045093 92.5750692594618 101.659088046646 40.5589768481309
4.67149719373948 3.52640272042165 -0.146025197710123 149.741609144065 92.733708080876 101.685406923969 40.5745231666233
4.97995509659239 3.40454976286896 -0.143984620065916 150.281314757328 92.0627160181197 101.322271546067 41.0847431822606
6.26985915584143 4.07694908519578 -0.152769936260354 150.235220265025 92.1161055547559 101.289199324901 41.2092447777228
6.87616406174125 4.01685864202357 -0.153779285552794 150.652758067396 91.5860576157351 101.16890109318 41.2672919516226
7.70293248073957 4.27121537716651 -0.15834672441644 150.837796909669 91.3437991953122 101.107197790262 41.3543055778413
8.09288555036718 4.33754180173286 -0.158943872230364 150.992658878304 91.1369645238188 101.046642113133 41.4721852702748
8.95838743015652 4.89973876322121 -0.164983613703147 150.971946848124 91.1546918624802 100.960008128133 41.7476523516386
9.89620316362484 5.20797946105184 -0.170049537252152 151.113244041387 90.9644310483146 100.91525300132 41.8374603786035
10.5808839917531 5.90288128412522 -0.17501418858643 151.034943438298 91.0552601013766 100.793748155359 42.2334992981815
11.5715753963595 6.07366396135276 -0.180178444214356 151.208359720738 90.8235739506924 100.775301255465 42.2425264666883
11.9527502262479 5.69281781286319 -0.178430653239326 151.461825785287 90.4869287285714 100.84192400882 42.0108289069835
12.6850158173587 6.30071892105471 -0.184804384779899 151.469163652772 90.4677987381856 100.7351172585 42.3274011609268
13.4218949366396 6.03767128424723 -0.186100583114419 151.702593959501 90.1555160595045 100.819209518 42.0694820608906
14.0919429710427 6.37230739584819 -0.1901404286536 151.773845191633 90.0541342633406 100.766537629442 42.2198396623667
14.9907144419977 6.99678495490471 -0.197555656503931 151.790997689895 90.0251632527737 100.671266864173 42.4875508577159
15.8592447650125 7.12258062134509 -0.201847114499115 151.902544033815 89.8726013038212 100.673814157342 42.4766779656257
16.4335843644548 7.9948054667396 -0.208896577134547 151.874027417715 89.9023504045317 100.517174358432 42.9201737698035
